,2020,2021,2022,2023,2024
0,0.411,0.381,0.475,0.336,0.462
1,0.415,0.385,0.476,0.342,0.482
2,0.413,0.394,0.481,0.358,0.500
3,0.409,0.404,0.490,0.369,0.511
4,0.405,0.411,0.496,0.378,0.524
5,0.401,0.417,0.504,0.386,0.532
6,0.406,0.424,0.513,0.401,0.539
7,0.403,0.424,0.523,0.411,0.554
8,0.414,0.423,0.540,0.424,0.575
9,0.418,0.425,0.554,0.446,0.592
10,0.431,0.427,0.563,0.467,0.614
11,0.443,0.429,0.576,0.486,0.626
12,0.468,0.431,0.592,0.503,0.642
13,0.481,0.432,0.606,0.524,0.662
14,0.497,0.431,0.614,0.549,0.678
15,0.514,0.432,0.618,0.564,0.690
16,0.524,0.436,0.629,0.576,0.695
17,0.533,0.436,0.639,0.580,0.705
18,0.544,0.434,0.640,0.586,0.710
19,0.550,0.430,0.642,0.588,0.715
20,0.550,0.427,0.644,0.586,0.714
21,0.550,0.420,0.648,0.586,0.712
22,0.546,0.411,0.646,0.584,0.703
23,0.543,0.401,0.647,0.581,0.692
24,0.541,0.392,0.640,0.578,0.687
25,0.541,0.384,0.631,0.577,0.674
26,0.538,0.378,0.620,0.569,0.660
27,0.535,0.369,0.611,0.561,0.641
28,0.533,0.366,0.602,0.549,0.631
29,0.528,0.362,0.593,0.539,0.616
30,0.522,0.355,0.588,0.529,0.606
31,0.515,0.349,0.579,0.517,0.595
32,0.505,0.343,0.568,0.504,0.593
33,0.493,0.339,0.556,0.489,0.591
34,0.480,0.333,0.552,0.478,0.585
35,0.467,0.331,0.544,0.472,0.577
36,0.453,0.331,0.537,0.464,0.570
37,0.439,0.330,0.536,0.458,0.566
38,0.423,0.328,0.531,0.450,0.567
39,0.415,0.326,0.528,0.440,0.566
40,0.407,0.321,0.524,0.432,0.567
41,0.395,0.315,0.521,0.421,0.567
42,0.386,0.308,0.516,0.411,0.569
43,0.381,0.303,0.524,0.399,0.564
44,0.377,0.298,0.530,0.387,0.558
45,0.371,0.297,0.540,0.376,0.551
46,0.365,0.295,0.544,0.368,0.545
47,0.367,0.295,0.546,0.363,0.539
48,0.366,0.293,0.542,0.360,0.534
49,0.368,0.291,0.551,0.353,0.524
50,0.365,0.291,0.553,0.349,0.516
51,0.369,0.287,0.550,0.345,0.507
52,0.372,0.285,0.551,0.340,0.499
53,0.373,0.286,0.551,0.338,0.493
54,0.372,0.283,0.559,0.332,0.484
55,0.375,0.279,0.569,0.327,0.475
56,0.375,0.281,0.576,0.323,0.468
57,0.378,0.280,0.578,0.318,0.456
58,0.379,0.281,0.577,0.313,0.451
59,0.382,0.281,0.577,0.312,0.446
60,0.385,0.281,0.576,0.312,0.448
61,0.390,0.283,0.575,0.311,0.451
62,0.390,0.285,0.573,0.311,0.453
63,0.388,0.290,0.571,0.309,0.461
64,0.386,0.294,0.566,0.306,0.472
65,0.384,0.298,0.562,0.305,0.483
66,0.386,0.301,0.555,0.303,0.492
67,0.385,0.306,0.547,0.300,0.497
68,0.382,0.310,0.540,0.300,0.502
69,0.378,0.318,0.534,0.299,0.507
70,0.373,0.321,0.531,0.299,0.511
71,0.366,0.321,0.528,0.303,0.517
72,0.363,0.325,0.527,0.304,0.530
73,0.363,0.324,0.523,0.306,0.536
74,0.358,0.326,0.517,0.311,0.544
75,0.355,0.325,0.513,0.316,0.550
76,0.354,0.323,0.521,0.319,0.557
77,0.348,0.320,0.524,0.331,0.565
78,0.342,0.316,0.530,0.335,0.570
79,0.339,0.313,0.528,0.337,0.574
80,0.334,0.310,0.531,0.347,0.575
81,0.332,0.306,0.530,0.351,0.572
82,0.328,0.303,0.529,0.356,0.570
83,0.328,0.303,0.535,0.358,0.570
84,0.328,0.303,0.541,0.356,0.569
85,0.332,0.302,0.545,0.352,0.567
86,0.330,0.297,0.545,0.349,0.559
87,0.331,0.295,0.540,0.349,0.551
88,0.330,0.291,0.537,0.347,0.541
89,0.330,0.290,0.534,0.341,0.535
90,0.334,0.293,0.529,0.336,0.532
91,0.337,0.292,0.525,0.329,0.534
92,0.336,0.294,0.521,0.325,0.533
93,0.334,0.296,0.513,0.321,0.535
94,0.334,0.297,0.503,0.320,0.532
95,0.338,0.301,0.496,0.319,0.531
96,0.345,0.301,0.485,0.317,0.526
97,0.353,0.299,0.476,0.313,0.517
98,0.365,0.300,0.464,0.309,0.514
99,0.369,0.302,0.463,0.305,0.507
100,0.375,0.302,0.464,0.304,0.497
101,0.375,0.299,0.472,0.299,0.492
102,0.375,0.298,0.477,0.295,0.487
103,0.374,0.295,0.476,0.292,0.483
104,0.369,0.302,0.474,0.290,0.482
105,0.369,0.306,0.468,0.285,0.475
106,0.369,0.308,0.464,0.281,0.465
107,0.364,0.309,0.459,0.276,0.453
108,0.364,0.309,0.453,0.271,0.450
109,0.361,0.306,0.449,0.264,0.444
110,0.355,0.306,0.452,0.258,0.439
111,0.352,0.308,0.462,0.250,0.435
112,0.354,0.311,0.466,0.244,0.433
113,0.353,0.311,0.467,0.237,0.426
114,0.349,0.313,0.467,0.229,0.422
115,0.349,0.313,0.470,0.227,0.416
116,0.353,0.313,0.470,0.223,0.410
117,0.357,0.314,0.471,0.218,0.406
118,0.358,0.316,0.481,0.215,0.411
119,0.357,0.317,0.488,0.212,0.415
120,0.356,0.318,0.488,0.207,0.416
121,0.354,0.319,0.487,0.204,0.415
122,0.350,0.320,0.481,0.200,0.410
123,0.344,0.323,0.472,0.199,0.414
124,0.338,0.321,0.472,0.204,0.422
125,0.330,0.316,0.471,0.208,0.428
126,0.323,0.315,0.465,0.217,0.428
127,0.315,0.312,0.458,0.227,0.433
128,0.308,0.310,0.457,0.234,0.432
129,0.305,0.308,0.463,0.238,0.433
130,0.299,0.309,0.465,0.243,0.429
131,0.291,0.308,0.466,0.249,0.425
132,0.286,0.305,0.465,0.253,0.425
133,0.283,0.306,0.460,0.256,0.423
134,0.284,0.306,0.454,0.261,0.419
135,0.283,0.309,0.445,0.271,0.422
136,0.286,0.306,0.445,0.284,0.422
137,0.289,0.304,0.438,0.302,0.417
138,0.290,0.302,0.434,0.316,0.418
139,0.293,0.301,0.435,0.326,0.416
140,0.297,0.300,0.435,0.338,0.412
141,0.296,0.301,0.438,0.348,0.411
142,0.303,0.304,0.449,0.359,0.408
143,0.311,0.311,0.454,0.370,0.403
144,0.313,0.315,0.454,0.377,0.396
145,0.322,0.317,0.456,0.387,0.388
146,0.330,0.318,0.464,0.393,0.381
147,0.332,0.317,0.481,0.398,0.377
148,0.336,0.317,0.487,0.404,0.371
149,0.336,0.316,0.492,0.407,0.365
150,0.333,0.313,0.496,0.411,0.361
151,0.334,0.307,0.498,0.410,0.357
152,0.331,0.302,0.500,0.411,0.349
153,0.330,0.296,0.502,0.407,0.348
154,0.328,0.288,0.501,0.406,0.344
155,0.330,0.281,0.501,0.401,0.341
156,0.334,0.275,0.498,0.393,0.339
157,0.342,0.269,0.491,0.382,0.337
158,0.357,0.269,0.480,0.378,0.337
159,0.364,0.269,0.484,0.372,0.338
160,0.366,0.267,0.488,0.364,0.340
161,0.368,0.264,0.491,0.356,0.347
162,0.371,0.259,0.493,0.349,0.350
163,0.373,0.260,0.491,0.344,0.354
164,0.374,0.257,0.486,0.341,0.365
165,0.373,0.253,0.479,0.338,0.376
166,0.375,0.257,0.481,0.334,0.381
167,0.375,0.256,0.487,0.335,0.385
168,0.375,0.258,0.488,0.332,0.390
169,0.376,0.265,0.486,0.326,0.400
170,0.375,0.267,0.483,0.318,0.407
171,0.370,0.277,0.476,0.315,0.410
172,0.365,0.289,0.471,0.310,0.415
173,0.362,0.298,0.462,0.307,0.422
174,0.355,0.303,0.453,0.305,0.429
175,0.346,0.310,0.450,0.307,0.435
176,0.342,0.314,0.441,0.307,0.440
177,0.334,0.318,0.435,0.310,0.448
178,0.327,0.318,0.425,0.312,0.452
179,0.320,0.319,0.415,0.313,0.454
180,0.310,0.319,0.406,0.314,0.450
181,0.302,0.315,0.394,0.316,0.447
182,0.296,0.309,0.386,0.316,0.442
183,0.290,0.308,0.380,0.317,0.442
184,0.284,0.305,0.373,0.314,0.438
185,0.278,0.303,0.369,0.311,0.439
186,0.284,0.299,0.363,0.312,0.437
187,0.292,0.293,0.366,0.310,0.436
