,2020,2021,2022,2023,2024
0,0.289,0.377,0.392,0.270,0.491
1,0.290,0.376,0.392,0.274,0.496
2,0.290,0.379,0.392,0.283,0.501
3,0.294,0.384,0.397,0.287,0.506
4,0.305,0.395,0.399,0.296,0.517
5,0.310,0.407,0.408,0.307,0.526
6,0.316,0.426,0.412,0.315,0.544
7,0.327,0.435,0.415,0.323,0.579
8,0.340,0.453,0.415,0.328,0.607
9,0.351,0.468,0.413,0.333,0.628
10,0.357,0.478,0.415,0.337,0.649
11,0.362,0.496,0.419,0.345,0.667
12,0.370,0.520,0.427,0.355,0.690
13,0.377,0.542,0.432,0.366,0.712
14,0.379,0.568,0.437,0.376,0.732
15,0.380,0.587,0.440,0.384,0.745
16,0.377,0.599,0.446,0.386,0.754
17,0.374,0.613,0.448,0.386,0.754
18,0.376,0.623,0.449,0.387,0.750
19,0.376,0.630,0.447,0.385,0.750
20,0.373,0.634,0.443,0.381,0.741
21,0.371,0.631,0.439,0.376,0.730
22,0.367,0.631,0.436,0.372,0.715
23,0.367,0.623,0.432,0.367,0.704
24,0.365,0.616,0.428,0.365,0.688
25,0.364,0.606,0.419,0.359,0.667
26,0.362,0.593,0.411,0.355,0.644
27,0.356,0.577,0.401,0.347,0.619
28,0.350,0.558,0.389,0.339,0.594
29,0.343,0.539,0.378,0.332,0.571
30,0.335,0.525,0.364,0.326,0.548
31,0.331,0.508,0.355,0.319,0.525
32,0.333,0.494,0.345,0.310,0.503
33,0.334,0.487,0.339,0.299,0.484
34,0.331,0.479,0.331,0.291,0.469
35,0.328,0.469,0.324,0.286,0.457
36,0.327,0.468,0.317,0.282,0.448
37,0.324,0.460,0.310,0.278,0.438
38,0.322,0.456,0.300,0.274,0.427
39,0.319,0.449,0.292,0.272,0.421
40,0.318,0.447,0.281,0.272,0.410
41,0.325,0.439,0.274,0.275,0.403
42,0.328,0.431,0.271,0.281,0.394
43,0.328,0.430,0.266,0.289,0.388
44,0.330,0.425,0.261,0.296,0.383
45,0.330,0.424,0.262,0.301,0.378
46,0.330,0.423,0.263,0.305,0.378
